Date : 2020-11-24 16:25:26
Directory : /home/min/Projects/monid
Total : 76 files,  5737 codes, 649 comments, 280 blanks, all 6666 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/min/Projects/monid/packages/monid-registry-contract/build/src/utils.d.ts                                            | TypeScript   |          4 |          0 |          1 |          5 |
| /home/min/Projects/monid/packages/monid-registry-contract/build/src/utils.js                                              | JavaScript   |         21 |          0 |          1 |         22 |
| /home/min/Projects/monid/packages/monid-registry-contract/build/types/ethers-contracts/factories/Migrations__factory.d.ts | TypeScript   |         12 |          0 |          1 |         13 |
| /home/min/Projects/monid/packages/monid-registry-contract/build/types/ethers-contracts/factories/Migrations__factory.js   | JavaScript   |        102 |          3 |          1 |        106 |
| /home/min/Projects/monid/packages/monid-registry-contract/build/types/ethers-contracts/factories/Registry__factory.d.ts   | TypeScript   |         12 |          0 |          1 |         13 |
| /home/min/Projects/monid/packages/monid-registry-contract/build/types/ethers-contracts/factories/Registry__factory.js     | JavaScript   |         86 |          3 |          1 |         90 |
| /home/min/Projects/monid/packages/monid-registry-contract/build/types/ethers-contracts/index.d.ts                         | TypeScript   |          4 |          0 |          1 |          5 |
| /home/min/Projects/monid/packages/monid-registry-contract/build/types/ethers-contracts/index.js                           | JavaScript   |          7 |          0 |          1 |          8 |
| /home/min/Projects/monid/packages/monid-registry-contract/contracts/Migrations.sol                                        | Solidity     |         18 |          1 |          6 |         25 |
| /home/min/Projects/monid/packages/monid-registry-contract/contracts/Registry.sol                                          | Solidity     |         22 |          1 |          7 |         30 |
| /home/min/Projects/monid/packages/monid-registry-contract/deploy.sh                                                       | Shell Script |          4 |          2 |          3 |          9 |
| /home/min/Projects/monid/packages/monid-registry-contract/jest.config.js                                                  | JavaScript   |          1 |          0 |          1 |          2 |
| /home/min/Projects/monid/packages/monid-registry-contract/migrations/1_initial_migration.js                               | JavaScript   |          4 |          0 |          2 |          6 |
| /home/min/Projects/monid/packages/monid-registry-contract/migrations/2_deploy_registry.js                                 | JavaScript   |          6 |          0 |          2 |          8 |
| /home/min/Projects/monid/packages/monid-registry-contract/package.json                                                    | JSON         |         27 |         21 |          0 |         48 |
